"TIME","GEO","SEX","AGE","UNIT","Value","Flag and Footnotes"
"2008","European Union - 28 countries","Total","Less than 1 year","Year","79.4",""
"2008","European Union - 28 countries","Males","Less than 1 year","Year","76.3",""
"2008","European Union - 28 countries","Females","Less than 1 year","Year","82.3",""
"2008","European Union - 27 countries (2007-2013)","Total","Less than 1 year","Year","79.4",""
"2008","European Union - 27 countries (2007-2013)","Males","Less than 1 year","Year","76.3",""
"2008","European Union - 27 countries (2007-2013)","Females","Less than 1 year","Year","82.4",""
"2008","Euro area (19 countries)","Total","Less than 1 year","Year","80.5",""
"2008","Euro area (19 countries)","Males","Less than 1 year","Year","77.5",""
"2008","Euro area (19 countries)","Females","Less than 1 year","Year","83.4",""
"2008","Euro area (18 countries)","Total","Less than 1 year","Year","80.6",""
"2008","Euro area (18 countries)","Males","Less than 1 year","Year","77.7",""
"2008","Euro area (18 countries)","Females","Less than 1 year","Year","83.5",""
"2008","Belgium","Total","Less than 1 year","Year","79.8",""
"2008","Belgium","Males","Less than 1 year","Year","76.9",""
"2008","Belgium","Females","Less than 1 year","Year","82.6",""
"2008","Bulgaria","Total","Less than 1 year","Year","73.3",""
"2008","Bulgaria","Males","Less than 1 year","Year","69.8",""
"2008","Bulgaria","Females","Less than 1 year","Year","77.0",""
"2008","Czechia","Total","Less than 1 year","Year","77.3",""
"2008","Czechia","Males","Less than 1 year","Year","74.1",""
"2008","Czechia","Females","Less than 1 year","Year","80.5",""
"2008","Denmark","Total","Less than 1 year","Year","78.8",""
"2008","Denmark","Males","Less than 1 year","Year","76.5",""
"2008","Denmark","Females","Less than 1 year","Year","81.0",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Less than 1 year","Year","80.2",""
"2008","Germany (until 1990 former territory of the FRG)","Males","Less than 1 year","Year","77.6",""
"2008","Germany (until 1990 former territory of the FRG)","Females","Less than 1 year","Year","82.7",""
"2008","Germany including former GDR","Total","Less than 1 year","Year","80.2",""
"2008","Germany including former GDR","Males","Less than 1 year","Year","77.6",""
"2008","Germany including former GDR","Females","Less than 1 year","Year","82.7",""
"2008","Estonia","Total","Less than 1 year","Year","74.4",""
"2008","Estonia","Males","Less than 1 year","Year","68.9",""
"2008","Estonia","Females","Less than 1 year","Year","79.5",""
"2008","Ireland","Total","Less than 1 year","Year","80.2",""
"2008","Ireland","Males","Less than 1 year","Year","77.9",""
"2008","Ireland","Females","Less than 1 year","Year","82.4",""
"2008","Greece","Total","Less than 1 year","Year","80.2",""
"2008","Greece","Males","Less than 1 year","Year","77.5",""
"2008","Greece","Females","Less than 1 year","Year","83.0",""
"2008","Spain","Total","Less than 1 year","Year","81.5",""
"2008","Spain","Males","Less than 1 year","Year","78.3",""
"2008","Spain","Females","Less than 1 year","Year","84.6",""
"2008","France","Total","Less than 1 year","Year","81.4",""
"2008","France","Males","Less than 1 year","Year","77.8",""
"2008","France","Females","Less than 1 year","Year","84.8",""
"2008","France (metropolitan)","Total","Less than 1 year","Year","81.4",""
"2008","France (metropolitan)","Males","Less than 1 year","Year","77.9",""
"2008","France (metropolitan)","Females","Less than 1 year","Year","84.8",""
"2008","Croatia","Total","Less than 1 year","Year","76.0",""
"2008","Croatia","Males","Less than 1 year","Year","72.3",""
"2008","Croatia","Females","Less than 1 year","Year","79.7",""
"2008","Italy","Total","Less than 1 year","Year","81.7",""
"2008","Italy","Males","Less than 1 year","Year","78.9",""
"2008","Italy","Females","Less than 1 year","Year","84.2",""
"2008","Cyprus","Total","Less than 1 year","Year","80.6",""
"2008","Cyprus","Males","Less than 1 year","Year","78.2",""
"2008","Cyprus","Females","Less than 1 year","Year","82.9",""
"2008","Latvia","Total","Less than 1 year","Year","72.1",""
"2008","Latvia","Males","Less than 1 year","Year","66.5",""
"2008","Latvia","Females","Less than 1 year","Year","77.5",""
"2008","Lithuania","Total","Less than 1 year","Year","71.7",""
"2008","Lithuania","Males","Less than 1 year","Year","65.9",""
"2008","Lithuania","Females","Less than 1 year","Year","77.6",""
"2008","Luxembourg","Total","Less than 1 year","Year","80.7",""
"2008","Luxembourg","Males","Less than 1 year","Year","78.1",""
"2008","Luxembourg","Females","Less than 1 year","Year","83.1",""
"2008","Hungary","Total","Less than 1 year","Year","74.2",""
"2008","Hungary","Males","Less than 1 year","Year","70.0",""
"2008","Hungary","Females","Less than 1 year","Year","78.3",""
"2008","Malta","Total","Less than 1 year","Year","79.7",""
"2008","Malta","Males","Less than 1 year","Year","77.1",""
"2008","Malta","Females","Less than 1 year","Year","82.3",""
"2008","Netherlands","Total","Less than 1 year","Year","80.5",""
"2008","Netherlands","Males","Less than 1 year","Year","78.4",""
"2008","Netherlands","Females","Less than 1 year","Year","82.5",""
"2008","Austria","Total","Less than 1 year","Year","80.6",""
"2008","Austria","Males","Less than 1 year","Year","77.7",""
"2008","Austria","Females","Less than 1 year","Year","83.3",""
"2008","Poland","Total","Less than 1 year","Year","75.6",""
"2008","Poland","Males","Less than 1 year","Year","71.3",""
"2008","Poland","Females","Less than 1 year","Year","80.0",""
"2008","Portugal","Total","Less than 1 year","Year","79.5",""
"2008","Portugal","Males","Less than 1 year","Year","76.2",""
"2008","Portugal","Females","Less than 1 year","Year","82.7",""
"2008","Romania","Total","Less than 1 year","Year","73.5",""
"2008","Romania","Males","Less than 1 year","Year","69.7",""
"2008","Romania","Females","Less than 1 year","Year","77.5",""
"2008","Slovenia","Total","Less than 1 year","Year","79.1","b"
"2008","Slovenia","Males","Less than 1 year","Year","75.5","b"
"2008","Slovenia","Females","Less than 1 year","Year","82.6","b"
"2008","Slovakia","Total","Less than 1 year","Year","74.9",""
"2008","Slovakia","Males","Less than 1 year","Year","70.9",""
"2008","Slovakia","Females","Less than 1 year","Year","79.0",""
"2008","Finland","Total","Less than 1 year","Year","79.9",""
"2008","Finland","Males","Less than 1 year","Year","76.5",""
"2008","Finland","Females","Less than 1 year","Year","83.3",""
"2008","Sweden","Total","Less than 1 year","Year","81.3",""
"2008","Sweden","Males","Less than 1 year","Year","79.2",""
"2008","Sweden","Females","Less than 1 year","Year","83.3",""
"2008","United Kingdom","Total","Less than 1 year","Year","79.8",""
"2008","United Kingdom","Males","Less than 1 year","Year","77.7",""
"2008","United Kingdom","Females","Less than 1 year","Year","81.8",""
"2008","European Economic Area (EU28 plus IS, LI, NO)","Total","Less than 1 year","Year","79.4",""
"2008","European Economic Area (EU28 plus IS, LI, NO)","Males","Less than 1 year","Year","76.3",""
"2008","European Economic Area (EU28 plus IS, LI, NO)","Females","Less than 1 year","Year","82.4",""
"2008","European Economic Area (EU27 plus IS, LI, NO)","Total","Less than 1 year","Year","79.4",""
"2008","European Economic Area (EU27 plus IS, LI, NO)","Males","Less than 1 year","Year","76.4",""
"2008","European Economic Area (EU27 plus IS, LI, NO)","Females","Less than 1 year","Year","82.4",""
"2008","European Free Trade Association","Total","Less than 1 year","Year","81.8",""
"2008","European Free Trade Association","Males","Less than 1 year","Year","79.3",""
"2008","European Free Trade Association","Females","Less than 1 year","Year","84.1",""
"2008","Iceland","Total","Less than 1 year","Year","81.6",""
"2008","Iceland","Males","Less than 1 year","Year","80.0",""
"2008","Iceland","Females","Less than 1 year","Year","83.3",""
"2008","Liechtenstein","Total","Less than 1 year","Year","82.9",""
"2008","Liechtenstein","Males","Less than 1 year","Year","80.0",""
"2008","Liechtenstein","Females","Less than 1 year","Year","85.5",""
"2008","Norway","Total","Less than 1 year","Year","80.8",""
"2008","Norway","Males","Less than 1 year","Year","78.4",""
"2008","Norway","Females","Less than 1 year","Year","83.2",""
"2008","Switzerland","Total","Less than 1 year","Year","82.3",""
"2008","Switzerland","Males","Less than 1 year","Year","79.8",""
"2008","Switzerland","Females","Less than 1 year","Year","84.6",""
"2008","Montenegro","Total","Less than 1 year","Year","75.2",""
"2008","Montenegro","Males","Less than 1 year","Year","72.6",""
"2008","Montenegro","Females","Less than 1 year","Year","77.8",""
"2008","North Macedonia","Total","Less than 1 year","Year","74.4",""
"2008","North Macedonia","Males","Less than 1 year","Year","72.4",""
"2008","North Macedonia","Females","Less than 1 year","Year","76.5",""
"2008","Albania","Total","Less than 1 year","Year",":",""
"2008","Albania","Males","Less than 1 year","Year",":",""
"2008","Albania","Females","Less than 1 year","Year",":",""
"2008","Serbia","Total","Less than 1 year","Year","73.9",""
"2008","Serbia","Males","Less than 1 year","Year","71.3",""
"2008","Serbia","Females","Less than 1 year","Year","76.6",""
"2008","Turkey","Total","Less than 1 year","Year",":",""
"2008","Turkey","Males","Less than 1 year","Year",":",""
"2008","Turkey","Females","Less than 1 year","Year",":",""
"2008","Belarus","Total","Less than 1 year","Year",":",""
"2008","Belarus","Males","Less than 1 year","Year",":",""
"2008","Belarus","Females","Less than 1 year","Year",":",""
"2008","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Less than 1 year","Year",":",""
"2008","Kosovo (under United Nations Security Council Resolution 1244/99)","Males","Less than 1 year","Year",":",""
"2008","Kosovo (under United Nations Security Council Resolution 1244/99)","Females","Less than 1 year","Year",":",""
"2008","Moldova","Total","Less than 1 year","Year","69.3",""
"2008","Moldova","Males","Less than 1 year","Year","65.5",""
"2008","Moldova","Females","Less than 1 year","Year","73.2",""
"2008","Russia","Total","Less than 1 year","Year","67.9",""
"2008","Russia","Males","Less than 1 year","Year","61.8",""
"2008","Russia","Females","Less than 1 year","Year","74.2",""
"2008","San Marino","Total","Less than 1 year","Year",":",""
"2008","San Marino","Males","Less than 1 year","Year",":",""
"2008","San Marino","Females","Less than 1 year","Year",":",""
"2008","Ukraine","Total","Less than 1 year","Year","68.0",""
"2008","Ukraine","Males","Less than 1 year","Year","62.3",""
"2008","Ukraine","Females","Less than 1 year","Year","73.9",""
"2008","Armenia","Total","Less than 1 year","Year","73.6",""
"2008","Armenia","Males","Less than 1 year","Year","70.2",""
"2008","Armenia","Females","Less than 1 year","Year","76.7",""
"2008","Azerbaijan","Total","Less than 1 year","Year","73.6",""
"2008","Azerbaijan","Males","Less than 1 year","Year","71.1",""
"2008","Azerbaijan","Females","Less than 1 year","Year","76.3",""
"2008","Georgia","Total","Less than 1 year","Year","74.0",""
"2008","Georgia","Males","Less than 1 year","Year","69.0",""
"2008","Georgia","Females","Less than 1 year","Year","78.8",""
"2009","European Union - 28 countries","Total","Less than 1 year","Year","79.6",""
"2009","European Union - 28 countries","Males","Less than 1 year","Year","76.6",""
"2009","European Union - 28 countries","Females","Less than 1 year","Year","82.6",""
"2009","European Union - 27 countries (2007-2013)","Total","Less than 1 year","Year","79.7",""
"2009","European Union - 27 countries (2007-2013)","Males","Less than 1 year","Year","76.6",""
"2009","European Union - 27 countries (2007-2013)","Females","Less than 1 year","Year","82.6",""
"2009","Euro area (19 countries)","Total","Less than 1 year","Year","80.8",""
"2009","Euro area (19 countries)","Males","Less than 1 year","Year","77.8",""
"2009","Euro area (19 countries)","Females","Less than 1 year","Year","83.6",""
"2009","Euro area (18 countries)","Total","Less than 1 year","Year","80.8",""
"2009","Euro area (18 countries)","Males","Less than 1 year","Year","77.9",""
"2009","Euro area (18 countries)","Females","Less than 1 year","Year","83.7",""
"2009","Belgium","Total","Less than 1 year","Year","80.2",""
"2009","Belgium","Males","Less than 1 year","Year","77.4",""
"2009","Belgium","Females","Less than 1 year","Year","82.8",""
"2009","Bulgaria","Total","Less than 1 year","Year","73.7",""
"2009","Bulgaria","Males","Less than 1 year","Year","70.2",""
"2009","Bulgaria","Females","Less than 1 year","Year","77.4",""
"2009","Czechia","Total","Less than 1 year","Year","77.4",""
"2009","Czechia","Males","Less than 1 year","Year","74.3",""
"2009","Czechia","Females","Less than 1 year","Year","80.5",""
"2009","Denmark","Total","Less than 1 year","Year","79.0",""
"2009","Denmark","Males","Less than 1 year","Year","76.9",""
"2009","Denmark","Females","Less than 1 year","Year","81.1",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Less than 1 year","Year","80.3",""
"2009","Germany (until 1990 former territory of the FRG)","Males","Less than 1 year","Year","77.8",""
"2009","Germany (until 1990 former territory of the FRG)","Females","Less than 1 year","Year","82.8",""
"2009","Germany including former GDR","Total","Less than 1 year","Year","80.3",""
"2009","Germany including former GDR","Males","Less than 1 year","Year","77.8",""
"2009","Germany including former GDR","Females","Less than 1 year","Year","82.8",""
"2009","Estonia","Total","Less than 1 year","Year","75.3",""
"2009","Estonia","Males","Less than 1 year","Year","70.0",""
"2009","Estonia","Females","Less than 1 year","Year","80.3",""
"2009","Ireland","Total","Less than 1 year","Year","80.2",""
"2009","Ireland","Males","Less than 1 year","Year","77.8",""
"2009","Ireland","Females","Less than 1 year","Year","82.7",""
"2009","Greece","Total","Less than 1 year","Year","80.4",""
"2009","Greece","Males","Less than 1 year","Year","77.5",""
"2009","Greece","Females","Less than 1 year","Year","83.3",""
"2009","Spain","Total","Less than 1 year","Year","81.9",""
"2009","Spain","Males","Less than 1 year","Year","78.8",""
"2009","Spain","Females","Less than 1 year","Year","85.0",""
"2009","France","Total","Less than 1 year","Year","81.5",""
"2009","France","Males","Less than 1 year","Year","78.0",""
"2009","France","Females","Less than 1 year","Year","85.0",""
"2009","France (metropolitan)","Total","Less than 1 year","Year","81.6",""
"2009","France (metropolitan)","Males","Less than 1 year","Year","78.0",""
"2009","France (metropolitan)","Females","Less than 1 year","Year","85.0",""
"2009","Croatia","Total","Less than 1 year","Year","76.3",""
"2009","Croatia","Males","Less than 1 year","Year","72.8",""
"2009","Croatia","Females","Less than 1 year","Year","79.7",""
"2009","Italy","Total","Less than 1 year","Year","81.8",""
"2009","Italy","Males","Less than 1 year","Year","79.1",""
"2009","Italy","Females","Less than 1 year","Year","84.3",""
"2009","Cyprus","Total","Less than 1 year","Year","81.0",""
"2009","Cyprus","Males","Less than 1 year","Year","78.5",""
"2009","Cyprus","Females","Less than 1 year","Year","83.5",""
"2009","Latvia","Total","Less than 1 year","Year","72.8",""
"2009","Latvia","Males","Less than 1 year","Year","67.5",""
"2009","Latvia","Females","Less than 1 year","Year","77.7",""
"2009","Lithuania","Total","Less than 1 year","Year","72.9",""
"2009","Lithuania","Males","Less than 1 year","Year","67.1",""
"2009","Lithuania","Females","Less than 1 year","Year","78.7",""
"2009","Luxembourg","Total","Less than 1 year","Year","80.8",""
"2009","Luxembourg","Males","Less than 1 year","Year","78.1",""
"2009","Luxembourg","Females","Less than 1 year","Year","83.3",""
"2009","Hungary","Total","Less than 1 year","Year","74.4",""
"2009","Hungary","Males","Less than 1 year","Year","70.3",""
"2009","Hungary","Females","Less than 1 year","Year","78.4",""
"2009","Malta","Total","Less than 1 year","Year","80.4",""
"2009","Malta","Males","Less than 1 year","Year","77.9",""
"2009","Malta","Females","Less than 1 year","Year","82.7",""
"2009","Netherlands","Total","Less than 1 year","Year","80.9",""
"2009","Netherlands","Males","Less than 1 year","Year","78.7",""
"2009","Netherlands","Females","Less than 1 year","Year","82.9",""
"2009","Austria","Total","Less than 1 year","Year","80.5",""
"2009","Austria","Males","Less than 1 year","Year","77.6",""
"2009","Austria","Females","Less than 1 year","Year","83.2",""
"2009","Poland","Total","Less than 1 year","Year","75.9",""
"2009","Poland","Males","Less than 1 year","Year","71.5",""
"2009","Poland","Females","Less than 1 year","Year","80.1",""
"2009","Portugal","Total","Less than 1 year","Year","79.7",""
"2009","Portugal","Males","Less than 1 year","Year","76.5",""
"2009","Portugal","Females","Less than 1 year","Year","82.8",""
"2009","Romania","Total","Less than 1 year","Year","73.7",""
"2009","Romania","Males","Less than 1 year","Year","69.8",""
"2009","Romania","Females","Less than 1 year","Year","77.7",""
