"TIME","GEO","INDIC_DE","Value","Flag and Footnotes"
"2008","European Union - 28 countries","Marriages","2,383,729",""
"2008","European Union - 28 countries","Crude marriage rate","4.8",""
"2008","European Union - 28 countries","Mean age at first marriage - males",":",""
"2008","European Union - 28 countries","Mean age at first marriage - females",":",""
"2008","European Union - 28 countries","Total first marriage rate - males",":",""
"2008","European Union - 27 countries (2007-2013)","Marriages","2,360,356",""
"2008","European Union - 27 countries (2007-2013)","Crude marriage rate","4.7",""
"2008","European Union - 27 countries (2007-2013)","Mean age at first marriage - males",":",""
"2008","European Union - 27 countries (2007-2013)","Mean age at first marriage - females",":",""
"2008","European Union - 27 countries (2007-2013)","Total first marriage rate - males",":",""
"2008","Euro area (19 countries)","Marriages","1,474,778",""
"2008","Euro area (19 countries)","Crude marriage rate","4.4",""
"2008","Euro area (19 countries)","Mean age at first marriage - males",":",""
"2008","Euro area (19 countries)","Mean age at first marriage - females",":",""
"2008","Euro area (19 countries)","Total first marriage rate - males",":",""
"2008","Euro area (18 countries)","Marriages","1,450,715",""
"2008","Euro area (18 countries)","Crude marriage rate","4.4",""
"2008","Euro area (18 countries)","Mean age at first marriage - males",":",""
"2008","Euro area (18 countries)","Mean age at first marriage - females",":",""
"2008","Euro area (18 countries)","Total first marriage rate - males",":",""
"2008","Belgium","Marriages","45,613",""
"2008","Belgium","Crude marriage rate","4.3",""
"2008","Belgium","Mean age at first marriage - males","31.4",""
"2008","Belgium","Mean age at first marriage - females","28.9",""
"2008","Belgium","Total first marriage rate - males","0.47",""
"2008","Bulgaria","Marriages","27,722",""
"2008","Bulgaria","Crude marriage rate","3.7",""
"2008","Bulgaria","Mean age at first marriage - males","29.2",""
"2008","Bulgaria","Mean age at first marriage - females","25.9",""
"2008","Bulgaria","Total first marriage rate - males","0.43",""
"2008","Czechia","Marriages","52,457",""
"2008","Czechia","Crude marriage rate","5.1",""
"2008","Czechia","Mean age at first marriage - males","30.2",""
"2008","Czechia","Mean age at first marriage - females","27.2",""
"2008","Czechia","Total first marriage rate - males","0.45",""
"2008","Denmark","Marriages","37,376",""
"2008","Denmark","Crude marriage rate","6.8",""
"2008","Denmark","Mean age at first marriage - males","33.8",""
"2008","Denmark","Mean age at first marriage - females","31.4",""
"2008","Denmark","Total first marriage rate - males","0.78",""
"2008","Germany (until 1990 former territory of the FRG)","Marriages","377,055",""
"2008","Germany (until 1990 former territory of the FRG)","Crude marriage rate","4.6",""
"2008","Germany (until 1990 former territory of the FRG)","Mean age at first marriage - males","32.4",""
"2008","Germany (until 1990 former territory of the FRG)","Mean age at first marriage - females","29.6",""
"2008","Germany (until 1990 former territory of the FRG)","Total first marriage rate - males","0.52",""
"2008","Germany including former GDR","Marriages","377,055",""
"2008","Germany including former GDR","Crude marriage rate","4.6",""
"2008","Germany including former GDR","Mean age at first marriage - males","32.4",""
"2008","Germany including former GDR","Mean age at first marriage - females","29.6",""
"2008","Germany including former GDR","Total first marriage rate - males","0.52",""
"2008","Estonia","Marriages","6,127",""
"2008","Estonia","Crude marriage rate","4.6",""
"2008","Estonia","Mean age at first marriage - males","29.9",""
"2008","Estonia","Mean age at first marriage - females","27.4",""
"2008","Estonia","Total first marriage rate - males","0.45",""
"2008","Ireland","Marriages","22,187",""
"2008","Ireland","Crude marriage rate","4.9",""
"2008","Ireland","Mean age at first marriage - males",":",""
"2008","Ireland","Mean age at first marriage - females",":",""
"2008","Ireland","Total first marriage rate - males",":",""
"2008","Greece","Marriages","53,500",""
"2008","Greece","Crude marriage rate","4.8",""
"2008","Greece","Mean age at first marriage - males","32.4",""
"2008","Greece","Mean age at first marriage - females","28.9",""
"2008","Greece","Total first marriage rate - males","0.54",""
"2008","Spain","Marriages","192,123",""
"2008","Spain","Crude marriage rate","4.2",""
"2008","Spain","Mean age at first marriage - males","32.3",""
"2008","Spain","Mean age at first marriage - females","30.1",""
"2008","Spain","Total first marriage rate - males","0.44",""
